StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Rohit Sharma,6,14,0000-00-00,true,,60,2018-100mb00000000006-2cf4bba8e99b11,17,MI,Mumbai Indians,60,17,2018-100mb00000000006-2cf4bba8e99b11,14,20,268,223,116,120.17,52.01,1.92,5.43,70.89,2.50,107,55,10,1,28,13,14,0,NA,0,0,0,48,19.14,7,0,107
Yashasvi Jaiswal,533,10,0000-00-00,false,,60,2020-100mb00000000533-e895f279639811,18,RR,Rajasthan Royals,60,18,2020-100mb00000000533-e895f279639811,10,14,258,194,81,132.98,41.75,2.39,5.10,66.66,2.28,113,65,9,1,28,10,10,0,NA,2,0,0,68,25.80,2,0,13538
Jonny Bairstow,216,11,0000-00-00,true,,60,2019-100mb00000000216-33c1188144bd11,15,PBKS,Punjab Kings,60,15,2019-100mb00000000216-33c1188144bd11,11,10,253,175,74,144.57,42.28,2.36,4.06,75.09,2.50,101,53,5,0,34,9,11,0,NA,2,0,0,66,23.00,2,0,506
Devon Conway,601,7,0000-00-00,false,,60,2021-100mb00000000601-517399b0ceaf11,13,CSK,Chennai Super Kings,60,13,2021-100mb00000000601-517399b0ceaf11,7,10,252,173,58,145.66,33.52,2.98,5.08,63.49,2.19,115,73,6,1,22,12,6,1,252.00,3,0,0,87,42.00,2,0,20572
Mitchell Marsh,40,8,0000-00-00,true,,60,2018-100mb00000000040-7f15f6c7f88a11,14,DC,Delhi Capitals,60,14,2018-100mb00000000040-7f15f6c7f88a11,8,8,251,189,74,132.80,39.15,2.55,5.72,63.74,2.18,115,74,7,1,19,14,8,0,NA,2,0,0,89,31.38,0,0,221
Rovman Powell,329,14,0000-00-00,true,,60,2019-100mb00000000329-bee19eaeb1e711,14,DC,Delhi Capitals,60,14,2019-100mb00000000329-bee19eaeb1e711,12,12,250,167,65,149.70,38.92,2.56,5.21,68.80,2.45,102,62,8,0,10,22,10,2,125.00,1,0,0,67*,25.00,10,0,3333
Moeen Ali,206,10,0000-00-00,false,,60,2019-100mb00000000206-501d92f644bb11,13,CSK,Chennai Super Kings,60,13,2019-100mb00000000206-501d92f644bb11,10,7,244,177,69,137.85,38.98,2.56,5.05,66.39,2.25,108,64,9,0,24,11,10,0,NA,1,0,0,93,24.40,5,0,1735
Jitesh Sharma,1000,12,0000-00-00,true,,60,2022-100mb00000001000-d90666b7a44d11,15,PBKS,Punjab Kings,60,15,2022-100mb00000001000-d90666b7a44d11,10,7,234,143,48,163.63,33.56,2.97,4.20,68.37,2.46,95,49,11,1,22,12,8,2,117.00,0,0,0,44,29.25,9,2,3185
MS Dhoni,57,14,0000-00-00,true,,60,2019-100mb00000000057-57100cf415ba11,13,CSK,Chennai Super Kings,60,13,2019-100mb00000000057-57100cf415ba11,13,15,232,188,82,123.40,43.61,2.29,6.06,62.06,2.18,106,62,13,0,21,10,7,6,38.66,1,0,0,50*,33.14,9,0,1
Robin Uthappa,153,12,0000-00-00,true,,60,2019-100mb00000000153-4d5e676844aa11,13,CSK,Chennai Super Kings,60,13,2019-100mb00000000153-4d5e676844aa11,11,18,230,171,80,134.50,46.78,2.13,5.18,69.56,2.52,91,48,8,2,19,14,11,0,NA,2,0,0,88,20.91,5,0,127
Shahbaz Ahmed,523,16,0000-00-00,false,,60,2020-100mb00000000523-53bc4c09638b11,19,RCB,Royal Challengers Bangalore,60,19,2020-100mb00000000523-53bc4c09638b11,11,27,219,181,68,120.99,37.56,2.66,7.86,50.22,1.93,113,72,17,1,14,9,8,3,73.00,0,0,0,45,27.38,8,0,13803
Rahul Tewatia,120,16,0000-00-00,false,,60,2019-100mb00000000120-7489ddcc449711,35,GT,Gujarat Titans,60,35,2019-100mb00000000120-7489ddcc449711,12,14,217,147,49,147.61,33.33,3.00,4.74,65.43,2.21,98,59,8,0,22,9,7,5,43.40,0,0,0,43*,31.00,5,0,1749
Kane Williamson,65,13,0000-00-00,true,,60,2019-100mb00000000065-4ae3f0e41e3711,20,SRH,Sunrisers Hyderabad,60,20,2019-100mb00000000065-4ae3f0e41e3711,13,11,216,231,111,93.50,48.05,2.08,9.62,51.85,1.80,120,88,8,0,16,8,11,2,108.00,1,0,0,57,19.64,10,0,440
Bhanuka Rajapaksa,372,9,0000-00-00,false,,60,2020-100mb00000000372-ff5bc9bc2deb11,15,PBKS,Punjab Kings,60,15,2020-100mb00000000372-ff5bc9bc2deb11,9,12,206,129,45,159.68,34.88,2.86,4.44,68.93,2.45,84,46,9,0,16,13,9,0,NA,0,0,0,43,22.89,4,0,20604
Mayank Agarwal,55,13,0000-00-00,true,,60,2018-100mb00000000055-ed853d8f050a11,15,PBKS,Punjab Kings,60,15,2018-100mb00000000055-ed853d8f050a11,12,24,196,160,71,122.50,44.37,2.25,5.51,65.30,2.20,89,52,8,0,23,6,12,0,NA,1,0,0,52,16.33,10,0,158
Ravichandran Ashwin,45,17,0000-00-00,true,,60,2018-100mb00000000045-f658f1b6f88a11,18,RR,Rajasthan Royals,60,18,2018-100mb00000000045-f658f1b6f88a11,12,7,191,135,39,141.48,28.88,3.46,5.86,57.59,1.98,96,65,8,0,14,9,7,5,38.20,1,0,0,50,27.29,5,0,8
Tim David,636,8,0000-00-00,true,,60,2021-100mb00000000636-9e985b64160411,17,MI,Mumbai Indians,60,17,2021-100mb00000000636-9e985b64160411,8,5,186,86,22,216.27,25.58,3.90,3.07,77.41,2.90,64,30,6,0,12,16,5,3,62.00,0,0,0,46,37.20,6,0,4524
Riyan Parag,189,17,0000-00-00,true,,60,2019-100mb00000000189-ac8c327a44b711,18,RR,Rajasthan Royals,60,18,2019-100mb00000000189-ac8c327a44b711,14,7,183,132,43,138.63,32.57,3.06,6.28,56.83,2.05,89,57,11,0,11,10,11,3,61.00,1,0,0,56*,16.64,17,0,4445
Krunal Pandya,17,14,0000-00-00,false,,60,2018-100mb00000000017-5e389774e99c11,77,LSG,Lucknow Super Giants,60,77,2018-100mb00000000017-5e389774e99c11,13,9,183,145,51,126.20,35.17,2.84,7.25,48.08,1.94,94,55,17,2,16,4,9,4,45.75,0,0,0,42,20.33,7,0,3183
Axar Patel,110,13,0000-00-00,false,,60,2019-100mb00000000110-79ae08f5449411,14,DC,Delhi Capitals,60,14,2019-100mb00000000110-79ae08f5449411,10,5,182,120,38,151.66,31.66,3.15,5.45,59.34,2.21,82,46,14,0,12,10,4,6,30.33,0,0,0,42*,45.50,8,0,1113
Venkatesh Iyer,584,12,0000-00-00,false,,60,2021-100mb00000000584-a3f48c1791dd11,16,KKR,Kolkata Knight Riders,60,16,2021-100mb00000000584-a3f48c1791dd11,12,17,182,169,85,107.69,50.29,1.98,7.04,60.43,2.16,84,48,12,0,17,7,11,1,182.00,1,0,0,50*,16.55,4,0,8540
Rinku Singh,152,7,0000-00-00,false,,60,2019-100mb00000000152-335aed3d44aa11,16,KKR,Kolkata Knight Riders,60,16,2019-100mb00000000152-335aed3d44aa11,7,10,174,117,39,148.71,33.33,3.00,4.87,63.21,2.23,78,44,10,0,17,7,5,2,87.00,0,0,0,42*,34.80,9,0,3830
Sam Billings,103,8,0000-00-00,true,,60,2019-100mb00000000103-d71192e643fd11,16,KKR,Kolkata Knight Riders,60,16,2019-100mb00000000103-d71192e643fd11,8,10,169,138,56,122.46,40.57,2.46,7.26,56.80,2.06,82,53,10,0,9,10,7,1,169.00,0,0,0,36,24.14,6,1,2756
Dewald Brevis,797,7,2003-04-29,true,,60,202265c5509b72a911ec8ab502ab46c,17,MI,Mumbai Indians,60,17,202265c5509b72a911ec8ab502ab46c,7,7,161,113,52,142.47,46.01,2.17,4.52,75.77,2.63,61,33,3,0,14,11,7,0,NA,0,0,0,49,23.00,3,0,20593
Ayush Badoni,985,13,0000-00-00,true,,60,2022-100mb00000000985-f5950061a44811,77,LSG,Lucknow Super Giants,60,77,2022-100mb00000000985-f5950061a44811,11,12,161,130,48,123.84,36.92,2.70,7.22,53.41,1.96,82,53,11,0,11,7,8,3,53.66,1,0,0,54,20.13,8,0,20586
Lalit Yadav,538,12,0000-00-00,true,,60,2020-100mb00000000538-c16259a1639a11,14,DC,Delhi Capitals,60,14,2020-100mb00000000538-c16259a1639a11,8,15,161,146,62,110.27,42.46,2.35,8.11,53.41,1.91,84,58,7,1,11,7,7,1,161.00,0,0,0,48*,23.00,6,0,6870
Matthew Wade,549,10,0000-00-00,false,,60,2020-100mb00000000549-9da979d52ff211,35,GT,Gujarat Titans,60,35,2020-100mb00000000549-9da979d52ff211,10,30,157,138,68,113.76,49.27,2.02,5.52,66.24,2.24,70,37,8,0,23,2,10,0,NA,0,0,0,35,15.70,7,1,290
Marcus Stoinis,23,11,0000-00-00,true,,60,2018-100mb00000000023-201fd633e99d11,77,LSG,Lucknow Super Giants,60,77,2018-100mb00000000023-201fd633e99d11,10,18,156,106,39,147.16,36.79,2.71,5.30,67.94,2.32,67,44,3,0,7,13,8,2,78.00,0,0,0,38*,19.50,4,0,964
Sai Sudharsan,976,5,0000-00-00,false,,60,2022-100mb00000000976-79aa33cca44611,35,GT,Gujarat Titans,60,35,2022-100mb00000000976-79aa33cca44611,5,8,145,114,35,127.19,30.70,3.25,6.70,51.03,1.83,79,53,9,0,14,3,4,1,145.00,1,0,0,65*,36.25,1,0,20592
Kieron Pollard,166,11,0000-00-00,true,,60,2019-100mb00000000166-f0e6b57e44ad11,17,MI,Mumbai Indians,60,17,2019-100mb00000000166-f0e6b57e44ad11,11,18,144,134,63,107.46,47.01,2.12,8.93,54.16,2.02,71,46,10,0,6,9,10,1,144.00,0,0,0,25,14.40,7,0,210
Ajinkya Rahane,44,7,0000-00-00,true,,60,2018-100mb00000000044-e03a43dbf88a11,16,KKR,Kolkata Knight Riders,60,16,2018-100mb00000000044-e03a43dbf88a11,7,7,133,128,62,103.90,48.43,2.06,7.11,60.15,2.01,66,43,5,0,14,4,7,0,NA,0,0,0,44,19.00,3,0,135
Anuj Rawat,534,8,0000-00-00,false,,60,2020-100mb00000000534-1ea324c4639911,19,RCB,Royal Challengers Bangalore,60,19,2020-100mb00000000534-1ea324c4639911,8,14,129,118,60,109.32,50.84,1.96,6.94,63.56,2.22,58,36,4,1,10,7,8,0,NA,1,0,0,66,16.13,6,0,10788
Shardul Thakur,105,14,0000-00-00,true,,60,2019-100mb00000000105-4c526de743fe11,14,DC,Delhi Capitals,60,14,2019-100mb00000000105-4c526de743fe11,10,8,120,87,30,137.93,34.48,2.90,6.21,58.33,2.10,57,36,7,0,7,7,8,2,60.00,0,0,0,29*,15.00,6,0,1745
Shahrukh Khan,590,8,0000-00-00,true,,60,2021-100mb00000000590-85eaa6f291e011,15,PBKS,Punjab Kings,60,15,2021-100mb00000000590-85eaa6f291e011,8,11,117,108,52,108.33,48.14,2.07,8.30,59.82,2.08,56,39,4,0,4,9,7,1,117.00,0,0,0,26,16.71,3,0,7779
Ravindra Jadeja,46,10,0000-00-00,false,,60,2018-100mb00000000046-06b5ba89f88b11,13,CSK,Chennai Super Kings,60,13,2018-100mb00000000046-06b5ba89f88b11,10,11,116,98,33,118.36,33.67,2.96,8.90,46.55,1.78,65,46,8,0,6,5,6,4,29.00,0,0,0,26*,19.33,7,0,9
Abhinav Manohar,974,8,0000-00-00,true,,60,2022-100mb00000000974-314d9cf0a44611,35,GT,Gujarat Titans,60,35,2022-100mb00000000974-314d9cf0a44611,7,4,108,75,26,144.00,34.66,2.88,4.41,68.51,2.20,49,30,2,0,14,3,6,1,108.00,0,0,0,43,18.00,4,0,20589
Washington Sundar,20,9,0000-00-00,false,,60,2018-100mb00000000020-9223b16ce99c11,20,SRH,Sunrisers Hyderabad,60,20,2018-100mb00000000020-9223b16ce99c11,7,12,101,69,21,146.37,30.43,3.28,5.75,53.46,2.10,48,27,7,2,9,3,7,0,NA,0,0,0,40,14.43,1,0,2973
Rashid Khan,218,16,0000-00-00,true,,60,2019-100mb00000000218-42d9d6f544bf11,35,GT,Gujarat Titans,60,35,2019-100mb00000000218-42d9d6f544bf11,8,2,91,44,12,206.81,27.27,3.66,3.66,72.52,2.84,32,16,3,1,3,9,4,4,22.75,0,0,0,40,22.75,7,0,2885
Sarfaraz Khan,139,6,0000-00-00,true,,60,2019-100mb00000000139-7cf20fc2449d11,14,DC,Delhi Capitals,60,14,2019-100mb00000000139-7cf20fc2449d11,5,3,91,67,20,135.82,29.85,3.35,6.09,52.74,1.93,47,29,7,0,9,2,3,2,45.50,0,0,0,36*,30.33,2,0,1564
Manish Pandey,16,6,0000-00-00,true,,60,2018-100mb00000000016-483406cee99c11,77,LSG,Lucknow Super Giants,60,77,2018-100mb00000000016-483406cee99c11,6,4,88,80,35,110.00,43.75,2.28,7.27,54.54,1.95,45,28,6,0,9,2,6,0,NA,0,0,0,38,14.67,3,0,123
Mahipal Lomror,184,7,0000-00-00,false,,60,2019-100mb00000000184-117a285844b711,19,RCB,Royal Challengers Bangalore,60,19,2019-100mb00000000184-117a285844b711,5,5,86,57,16,150.87,28.07,3.56,5.18,60.46,2.09,41,26,4,0,7,4,5,0,NA,0,0,0,42,17.20,2,0,2970
Aaron Finch,3,5,0000-00-00,true,,60,2018-wicb00000000003-abaf30dee99a11,16,KKR,Kolkata Knight Riders,60,16,2018-wicb00000000003-abaf30dee99a11,5,10,86,61,26,140.98,42.62,2.34,4.69,67.44,2.45,35,16,6,0,10,3,5,0,NA,1,0,0,58,17.20,1,0,167
Rahul Chahar,171,13,0000-00-00,true,,60,2019-100mb00000000171-b2aa538f44ae11,15,PBKS,Punjab Kings,60,15,2019-100mb00000000171-b2aa538f44ae11,8,2,77,68,35,113.23,51.47,1.94,6.18,67.53,2.33,33,19,3,0,7,4,6,2,38.50,0,0,0,25*,12.83,4,0,3763
Evin Lewis,163,6,0000-00-00,false,,60,2019-100mb00000000163-6fc87ad344ad11,77,LSG,Lucknow Super Giants,60,77,2019-100mb00000000163-6fc87ad344ad11,5,8,73,56,25,130.35,44.64,2.24,5.09,68.49,2.35,31,17,3,0,8,3,3,2,36.50,1,0,0,55*,24.33,3,0,872
Sunil Narine,156,14,0000-00-00,false,,60,2019-100mb00000000156-a6b6f42c44aa11,16,KKR,Kolkata Knight Riders,60,16,2019-100mb00000000156-a6b6f42c44aa11,10,0,71,40,18,177.50,45.00,2.22,3.33,84.50,3.22,22,9,1,0,6,6,8,2,35.50,0,0,0,22,8.88,2,0,203
Shashank Singh,191,10,0000-00-00,true,,60,2019-100mb00000000191-df21803b44b711,20,SRH,Sunrisers Hyderabad,60,20,2019-100mb00000000191-df21803b44b711,5,1,69,47,18,146.80,38.29,2.61,5.22,63.76,2.37,29,15,5,0,5,4,4,1,69.00,0,0,0,25*,17.25,3,0,3261
Suyash S Prabhudessai,598,5,0000-00-00,true,,60,2021-100mb00000000598-bffd454291e511,19,RCB,Royal Challengers Bangalore,60,19,2021-100mb00000000598-bffd454291e511,5,5,67,59,28,113.55,47.45,2.10,6.55,59.70,2.16,31,19,1,2,7,2,5,0,NA,0,0,0,34,13.40,5,0,7002
Pat Cummins,33,5,0000-00-00,true,,60,2018-100mb00000000033-d93110bbf88911,16,KKR,Kolkata Knight Riders,60,16,2018-100mb00000000033-d93110bbf88911,5,1,63,24,8,262.50,33.33,3.00,2.18,88.88,3.93,16,3,2,0,5,6,4,1,63.00,1,0,0,56*,15.75,1,0,488
Jaydev Unadkat,180,5,0000-00-00,true,,60,2019-100mb00000000180-1352e0b244b611,17,MI,Mumbai Indians,60,17,2019-100mb00000000180-1352e0b244b611,5,4,59,37,13,159.45,35.13,2.84,5.28,57.62,2.45,24,9,8,0,4,3,3,2,29.50,0,0,0,19*,19.67,1,0,86
Romario Shepherd,371,3,0000-00-00,true,,60,2019-100mb00000000371-481ee0be14fc11,20,SRH,Sunrisers Hyderabad,60,20,2019-100mb00000000371-481ee0be14fc11,3,5,58,41,19,141.46,46.34,2.15,5.85,65.51,2.63,22,10,5,0,2,5,2,1,58.00,0,0,0,26*,29.00,0,0,20609
